month,day,hour,elec,gas 
1,12,24,4.884,0.744
1,13,1,0,0.429
1,13,2,0,0.134
1,13,3,0,0.122
1,13,4,0,0.134
1,13,5,0,0.13
1,13,6,0,0.131
1,13,7,5.188,0.176
1,13,8,7.63,0.309
1,13,9,6.104,0.923
1,13,10,6.714,0.723
1,13,11,6.41,1.125
1,13,12,0,0.341
1,13,13,0.305,0.198
1,13,14,0.305,0.402
1,13,15,7.02,0.248
1,13,16,6.409,0.198
1,13,17,7.63,0.304
1,13,18,7.935,0.442
1,13,19,8.851,1.222
1,13,20,6.104,0.84
1,13,21,6.409,1.12
1,13,22,7.935,1.16
1,13,23,5.494,0.789
1,13,24,5.188,0.728
1,14,1,0,0.611
1,14,2,0,0.125
1,14,3,0,0.12
1,14,4,0,0.125
1,14,5,0,0.126
1,14,6,0,0.12
1,14,7,4.883,0.181
1,14,8,6.104,0.256
1,14,9,5.189,0.219
1,14,10,5.493,0.41
1,14,11,6.41,0.51
1,14,12,0,0.058
1,14,13,0,0.248
1,14,14,0,0.912
1,14,15,0.61,0.424
1,14,16,0,0.782
1,14,17,4.883,0.261
1,14,18,8.851,0.589
1,14,19,6.409,1.011
1,14,20,5.494,0.845
1,14,21,5.188,1.08
1,14,22,5.494,1.294
1,14,23,4.883,0.866
1,14,24,4.883,0.595
1,15,1,0,0.525
1,15,2,0,0.312
1,15,3,0,0.094
1,15,4,0,0.064
1,15,5,0,0.072
1,15,6,0,0.08
1,15,7,5.189,0.12
1,15,8,5.798,0.218
1,15,9,5.494,0.158
1,15,10,6.104,0.312
1,15,11,7.325,0.968
1,15,12,0,0.133
1,15,13,0,0.048
1,15,14,0.61,0.403
1,15,15,0.611,0.213
1,15,16,5.493,0.211
1,15,17,10.377,0.41
1,15,18,12.513,0.84
1,15,19,11.903,1.19
1,15,20,8.546,0.992
1,15,21,7.63,1.21
1,15,22,7.019,0.768
1,15,23,4.883,0.648
1,15,24,5.189,0.536
1,16,1,0,0.147
1,16,2,0,0.117
1,16,3,0,0.046
1,16,4,0,0.109
1,16,5,0,0.045
1,16,6,0,0.115
1,16,7,4.883,0.099
1,16,8,7.935,0.736
1,16,9,5.799,1.037
1,16,10,6.409,0.659
1,16,11,5.799,0.28
1,16,12,0,0.098
1,16,13,0,0.075
1,16,14,0,0.301
1,16,15,0,0.318
1,16,16,0,0.216
1,16,17,4.883,0.165
1,16,18,6.715,0.555
1,16,19,6.409,0.821
1,16,20,6.104,0.992
1,16,21,6.104,0.797
1,16,22,7.325,0.928
1,16,23,5.188,0.707
1,16,24,5.188,0.723
1,17,1,0,0.421
1,17,2,0,0.048
1,17,3,0,0.131
1,17,4,0,0.042
1,17,5,0,0.104
1,17,6,0,0.075
1,17,7,4.884,0.115
1,17,8,5.798,0.272
1,17,9,5.494,0.84
1,17,10,6.104,0.378
1,17,11,5.188,0.16
1,17,12,0,0.056
1,17,13,0,0.406
1,17,14,0,0.05
1,17,15,0,0.112
1,17,16,0,0.078
1,17,17,5.189,0.672
1,17,18,6.714,1.394
1,17,19,6.104,1.016
1,17,20,8.241,2.248
1,17,21,7.63,1.827
1,17,22,5.493,1.331
1,17,23,4.883,1.261
1,17,24,6.104,1.083
1,18,1,0,0.8
1,18,2,0,0.197
1,18,3,0,0.115
1,18,4,0,0.05
1,18,5,0,0.112
1,18,6,0,0.07
1,18,7,4.578,0.154
